Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","250","France","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","80.11","E","Estimated value"
"FBS","Food Balances (2010-)","276","Germany","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","83408.55","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Germany","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","36.81","E","Estimated value"
"FBS","Food Balances (2010-)","276","Germany","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","73.73","E","Estimated value"
"FBS","Food Balances (2010-)","300","Greece","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10445.36","X","Figure from international organizations"
"FBS","Food Balances (2010-)","300","Greece","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.39","E","Estimated value"
"FBS","Food Balances (2010-)","300","Greece","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","65.81","E","Estimated value"
"FBS","Food Balances (2010-)","348","Hungary","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","9709.79","X","Figure from international organizations"
"FBS","Food Balances (2010-)","348","Hungary","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.79","E","Estimated value"
"FBS","Food Balances (2010-)","348","Hungary","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","55.81","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","370.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","352","Iceland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","44.82","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","100.8","E","Estimated value"
"FBS","Food Balances (2010-)","372","Ireland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","4986.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","372","Ireland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.76","E","Estimated value"
"FBS","Food Balances (2010-)","372","Ireland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","87.1","E","Estimated value"
"FBS","Food Balances (2010-)","380","Italy","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","59240.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","380","Italy","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","48.87","E","Estimated value"
"FBS","Food Balances (2010-)","380","Italy","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","69.14","E","Estimated value"
"FBS","Food Balances (2010-)","428","Latvia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1873.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","428","Latvia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.39","E","Estimated value"
"FBS","Food Balances (2010-)","428","Latvia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","68.77","E","Estimated value"
"FBS","Food Balances (2010-)","440","Lithuania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2786.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","440","Lithuania","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","42.72","E","Estimated value"
"FBS","Food Balances (2010-)","440","Lithuania","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","86.72","E","Estimated value"
"FBS","Food Balances (2010-)","442","Luxembourg","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","639.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","442","Luxembourg","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","42.23","E","Estimated value"
"FBS","Food Balances (2010-)","442","Luxembourg","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","75.9","E","Estimated value"
"FBS","Food Balances (2010-)","470","Malta","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","526.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","470","Malta","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","42.15","E","Estimated value"
"FBS","Food Balances (2010-)","470","Malta","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","59.18","E","Estimated value"
"FBS","Food Balances (2010-)","499","Montenegro","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","627.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","499","Montenegro","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","50.42","E","Estimated value"
"FBS","Food Balances (2010-)","499","Montenegro","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","78.65","E","Estimated value"
